Reference, Value, Footprint, Datasheet, Part_Number
"C3","100nF","Capacitor_SMD:C_0805_2012Metric","~","CGA4J2X7R2A104K125AA"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","~","CGA4J2X7R2A104K125AA"
"C6","1uF","Capacitor_SMD:C_0805_2012Metric","~","C0805C105M8RACAUTO"
"C4","10uF","Capacitor_SMD:C_0805_2012Metric","~","JMK212ABJ106KG-T"
"J1","USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","47346-0001"
"U3","KC2016Z","Custom:KC2016Z","https://ele.kyocera.com/assets/products/crystal-device/clock_z_x_e.pdf","KC2016Z32.0000C15XXK"
"R1","200","Resistor_SMD:R_0805_2012Metric","~","ERJ-PB6D2000V"
"D1","LED","LED_SMD:LED_0805_2012Metric","~","XZUR54W-1"
"R2","0","Resistor_SMD:R_0805_2012Metric","~","RCS08050000Z0EA"
"R3","UNPOP","Resistor_SMD:R_0805_2012Metric","~","UNPOP"
"U1","LM3670MF-3.3","Package_TO_SOT_SMD:TSOT-23-5","http://www.ti.com/lit/ds/symlink/lm3670.pdf","LM3670MF-3.3"
"C1","4.7uF","Capacitor_SMD:C_0805_2012Metric","~","TMK212ABJ475MG-T"
"L1","10uH","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=LB3218T100K%20%20&u=M","LB3218T100K"
"C2","10uF","Capacitor_SMD:C_0805_2012Metric","~","JMK212ABJ106KG-T"
"U2","STM32L010K4T6","QFP80P900X900X160-32N","https://www.st.com/resource/en/datasheet/stm32l010f4.pdf","STM32L010K4T6"
"J4","Conn_01x13_Female","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","~","PREC013SAAN-RC"
"J3","Conn_01x13_Female","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical","~","PREC013SAAN-RC"
"J2","Conn_ARM_JTAG_SWD_10","Custom:2X05_1.27MM_BOX_POSTS","https://www.adafruit.com/product/4048#description","4048"
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","~","CGA4J2X7R2A104K125AA"
